
05-08-2025 14:48:01|tablet|60|0.012000|0.004800
05-08-2025 14:48:39|router|40|0.006667|0.002667
05-08-2025 17:45:13|router|35|0.005833|0.002333
06-08-2025 18:44:32|monitor|60|0.040000|0.016000
06-08-2025 19:04:00|laptop|45|0.045000|0.018000
10-08-2025 11:53:38|desktop|180|0.450000|0.180000
10-08-2025 11:54:45|router|30|0.005000|0.002000
10-08-2025 12:07:25|smartphone|180|0.024000|0.009600
10-08-2025 12:16:23|laptop|60|0.060000|0.024000
10-08-2025 16:23:54|tablet|50|0.010000|0.004000
10-08-2025 16:51:42|monitor|45|0.030000|0.012000
